wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
1116,마찬가지,Noun,13
1117,감상,Noun,13
1118,없어,Adjective,13
1119,감자,Noun,13
1120,밑,Noun,13
1121,넘게,Verb,13
1122,페어,Noun,13
1123,낭만,Noun,13
1124,칸,Noun,13
1125,히트,Noun,13
1126,도보,Noun,13
1127,멀리,Noun,13
1128,요청,Noun,13
1129,오른쪽,Noun,13
1130,있었고,Adjective,13
1131,추워서,Adjective,13
1132,종이,Noun,13
1133,되세요,Verb,13
1134,부,Noun,13
1135,후드,Noun,13
1136,되지,Verb,13
1137,모르는,Verb,13
1138,질문,Noun,13
1139,크게,Noun,13
1140,라인,Noun,13
1141,지베르,Noun,13
1142,같고,Adjective,13
1143,가라,Noun,13
1144,있다고,Adjective,13
1145,대략,Noun,13
1146,소스,Noun,13
1147,않았습니다,Verb,13
1148,된다고,Verb,13
1149,샵,Noun,13
1150,앙,Adverb,13
1151,있으시면,Adjective,13
1152,잡고,Noun,13
1153,다녔는데,Verb,13
1154,답변,Noun,13
1155,트리아농,Noun,13
1156,예술,Noun,13
1157,독일,Noun,13
1158,많았어요,Adjective,13
1159,옷차림,Noun,13
1160,룸,Noun,13
1161,몇개,Noun,13
1162,파티,Noun,13
1163,들어갔습니다,Verb,13
1164,코,Noun,13
1165,약국,Noun,13
1166,옹플뢰르,Noun,13
1167,무난,Noun,13
1168,멋진,Adjective,13
1169,얼굴,Noun,13
1170,가을,Noun,13
1171,시켰는데,Verb,13
1172,찾고,Verb,13
1173,날짜,Noun,13
