p_wordcnt.no,p_wordcnt.content,p_wordcnt.mor,p_wordcnt.cnt
828,크레이지,Noun,2
829,휴업,Noun,2
830,시타,Noun,2
831,큰일,Noun,2
832,클래스,Noun,2
833,클래식,Noun,2
834,조금,Noun,2
835,키트,Noun,2
836,킥,Noun,2
837,초보,Noun,2
838,신분,Noun,2
839,표시,Noun,2
840,타르,Noun,2
841,불,Noun,2
842,타임,Noun,2
843,몽마르트,Noun,2
844,탈지,Noun,2
845,리츠,Noun,2
846,실시간,Noun,2
847,조명,Noun,2
848,실패,Noun,2
849,촬영,Noun,2
850,테스트,Noun,2
851,불어,Noun,2
852,아시아나,Noun,2
853,통행,Noun,2
854,아예,Noun,2
855,투,Noun,2
856,브레,Noun,2
857,공,Noun,2
858,목적지,Noun,2
859,보드,Noun,2
860,블,Noun,2
861,블로그,Noun,2
862,미성년,Noun,2
863,보아,Noun,2
864,팅,Noun,2
865,고이,Noun,2
866,에스카르고,Noun,2
867,에스컬레이터,Noun,2
868,볼거리,Noun,2
869,인쇄,Noun,2
870,에어컨,Noun,2
871,에어프랑스,Noun,2
872,비바,Noun,2
873,직관,Noun,2
874,룩셈부르크,Noun,2
875,종료,Noun,2
876,종류,Noun,2
877,모시,Noun,2
878,축구장,Noun,2
879,보수,Noun,2
880,종일,Noun,2
881,중단,Noun,2
882,여,Noun,2
883,모바일,Noun,2
884,어,Noun,2
885,여러,Noun,2
886,빌라,Noun,2
887,진입,Noun,2
888,방,Noun,2
889,루앙,Noun,2
890,계산,Noun,2
891,플리,Noun,2
892,벌써,Noun,2
893,출근시간,Noun,2
894,어머니,Noun,2
895,연월일,Noun,2
896,사,Modifier,2
897,미만,Noun,2
898,사골,Noun,2
899,연초,Noun,2
900,언,Modifier,2
901,로컬,Noun,2
902,밥,Noun,2
903,가세,Noun,2
904,엄마,Noun,2
905,피에르,Noun,2
906,밤길,Noun,2
907,에밀리,Noun,2
908,오,Noun,2
909,결승,Noun,2
910,취리히,Noun,2
911,사유,Noun,2
912,오스트리아,Noun,2
913,오신,Noun,2
914,겉옷,Noun,2
915,벌금,Noun,2
916,기한,Noun,2
917,길거리,Noun,2
918,길이,Noun,2
919,사항,Noun,2
920,질의,Noun,2
921,검색,Noun,2
922,산책,Noun,2
923,검문,Noun,2
924,미국,Noun,2
925,뮤직,Noun,2
926,건물,Noun,2
927,꽉,Noun,2
928,삼각대,Noun,2
929,상점,Noun,2
930,나가야,Noun,2
931,나나,Noun,2
932,입구,Noun,2
933,명당,Noun,2
934,우리나라,Noun,2
935,우선,Noun,2
936,나이,Noun,2
937,난,Noun,2
938,가나,Noun,2
939,치즈,Noun,2
940,뮤슈,Noun,2
941,개인,Noun,2
942,뮌헨,Noun,2
943,개방,Noun,2
944,입문,Noun,2
945,중심부,Noun,2
946,생샤펠,Noun,2
947,유료,Noun,2
948,하차,Noun,2
949,생활,Noun,2
950,뭔,Modifier,2
951,음식점,Noun,2
952,중이,Noun,2
953,의견,Noun,2
954,전기자전거,Noun,2
955,이건,Noun,2
956,한국인,Noun,2
957,노보텔,Noun,2
958,이득,Noun,2
959,노선도,Noun,2
960,메뉴,Noun,2
961,정기권,Noun,2
962,샤모니,Noun,2
963,이벤트,Noun,2
964,놀,Noun,2
965,이스탄불,Noun,2
966,차량,Noun,2
967,차로,Noun,2
968,이제,Noun,2
969,그,Noun,2
970,먼저,Noun,2
971,다른,Modifier,2
972,익스플로러,Noun,2
973,북,Noun,2
974,인지,Noun,2
975,쥬리,Noun,2
976,입처,Noun,2
977,자,Noun,2
978,전공,Noun,2
979,자가진단,Noun,2
980,자녀,Noun,2
981,선배,Noun,2
982,선생님,Noun,2
983,자유시간,Noun,2
984,자유여행,Noun,2
985,자정,Noun,2
986,자주,Noun,2
987,설치,Noun,2
988,성,Modifier,2
989,잠,Noun,2
990,반,Modifier,2
991,잡기,Noun,2
992,부모님,Noun,2
993,맥주,Noun,2
994,해외,Noun,2
995,대신,Noun,2
996,대여,Noun,2
997,해제,Noun,2
998,보르도,Noun,2
999,궁금,Noun,2
1000,매장,Noun,2
1001,셀,Noun,2
1002,가을,Noun,2
1003,던데,Noun,2
1004,셔틀버스,Noun,2
1005,행진,Noun,2
1006,도보,Noun,2
1007,주년,Noun,2
1008,매월,Noun,2
1009,국립,Noun,2
1010,책,Noun,2
1011,돈,Noun,2
1012,팔,Noun,2
1013,동반,Noun,2
1014,국경일,Noun,2
1015,매달,Noun,2
1016,쇼핑,Noun,2
1017,구장,Noun,2
1018,챔스,Noun,2
1019,현,Noun,2
1020,현금,Noun,2
1021,바캉스,Noun,2
1022,드론,Noun,2
1023,구글,Noun,2
1024,일어,Noun,2
1025,구간,Noun,2
1026,주문,Noun,2
1027,호스,Noun,2
1028,딘,Noun,2
1029,전날,Noun,2
1030,페,Noun,2
1031,페스티벌,Noun,2
1032,복장,Noun,2
1033,띠,Noun,2
1034,지도,Noun,2
1035,라르,Noun,2
1036,첨부,Noun,2
1037,외곽,Noun,2
1038,봉디,Noun,1
1039,봉,Noun,1
1040,저만,Modifier,1
1041,저울,Noun,1
1042,저학년,Noun,1
1043,적,Noun,1
1044,적용,Noun,1
1045,전기,Noun,1
1046,전기장판,Noun,1
1047,전도,Noun,1
1048,전동,Noun,1
1049,본인,Noun,1
1050,전문가,Noun,1
1051,전시회,Noun,1
1052,전혀,Noun,1
1053,절약,Noun,1
1054,젊은이,Noun,1
1055,점검,Noun,1
1056,젓,Noun,1
1057,정,Noun,1
1058,정각,Noun,1
1059,정녕,Noun,1
1060,정돈,Noun,1
1061,정리,Noun,1
1062,보증금,Noun,1
